Date,HourEnding,TotalResourceMWZoneSouth,TotalResourceMWZoneNorth,TotalResourceMWZoneWest,TotalResourceMWZoneHouston,TotalIRRMWZoneSouth,TotalIRRMWZoneNorth,TotalIRRMWZoneWest,TotalIRRMWZoneHouston,TotalNewEquipResourceMWZoneSouth,TotalNewEquipResourceMWZoneNorth,TotalNewEquipResourceMWZoneWest,TotalNewEquipResourceMWZoneHouston
09/06/2026,24,2077,2476,143,4559,1546,1368,2608,61,810,2079,288,611
09/07/2026,01,2077,2476,283,4559,1546,1382,2608,61,810,2079,288,611
09/07/2026,02,2077,2476,283,4559,1546,1382,2608,61,810,2079,288,611
