SASM ID,Delivery Date,Hour Ending,Resource Name,Resource Type,REGUP Awarded,REGUP MCPC,REGDN Awarded,REGDN MCPC,RRSPFR Awarded,RRSFFR Awarded,RRSUFR Awarded,RRS MCPC,ECRSM Awarded,ECRSS Awarded,ECRS MCPC,NSPIN Awarded,NSPIN MCPC
11/27/2025 02:45:05 AM,11/27/2025,18,DOWGEN_LD7,NCLR,,,,,,,2,33,,,,,
11/27/2025 02:45:05 AM,11/27/2025,18,DOWGEN_LD9,NCLR,,,,,,,1.1,33,,,,,
11/27/2025 02:45:05 AM,11/27/2025,19,DOWGEN_LD5,NCLR,,,,,,,5,15,,,,,
