Delivery Date,Hour Ending,Sum DAM EN Only Bids cleared,Sum 3PO cleared,Sum DAM EN Only Offers cleared,Sum ESR Bids cleared,Sum ESR Offers cleared
09/05/2026,1,-11588.2,8916,3712,-3.2,25
09/05/2026,2,-11202.3,8798.7,3565.7,-8.3,0
09/05/2026,3,-10947.7,8792.2,3357.9,-130.7,0
