DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,DSTFlag
09/07/2026,1:00,15153.1943,2058.1025,7683.0674,1892.4691,19082.3848,10498.6553,5282.5381,2132.7495,63783.161,N
09/07/2026,2:00,14754.9746,1965.3281,7875.3892,1860.3538,17962.7988,9950.5547,5189.2856,1983.3103,61541.9951,N
09/07/2026,3:00,14386.5215,1812.9615,7840.1382,1762.7611,17096.2441,9701.1582,5045.2759,2035.9567,59681.0172,N
