DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,DSTFlag
09/04/2026,02:00,82.7,77.5,84.5,80.5,79.5,81.5,84.4,85,N
09/04/2026,03:00,82.9,76.5,85.5,79,79,81,83.8,83.2,N
09/04/2026,04:00,81.7,76,83.5,78,77.25,80.5,82.8,82,N
