OperatingDate,HourEnding,ResourcePOLnonIRRnonPUN,AggApprovedResourcePOLnonIRRnonPUN,AggReceivedResourcePOLnonIRRnonPUN,ResourcePOLIRR,AggApprovedResourcePOLIRR,AggReceivedResourcePOLIRR,ResourcePOLESR,AggApprovedResourcePOLESR,AggReceivedResourcePOLESR,RepeatedHourFlag
09/07/2026,12,33183,192,0,3519,0,0,872,0,0,N
09/07/2026,13,28270,192,0,3519,0,0,872,0,0,N
09/07/2026,14,22717,192,0,3519,0,0,872,0,0,N
