SCED Timestamp,Repeated Hour Flag,Start Timestamp,End Timestamp,Participant Name,Resource Name,AS Type,AS Capability Limit,Derated Qty,Reason Code
04/15/2026 12:13:14,N,04/15/2026 12:03:39,04/15/2026 23:59:01,QTEN26,FTDUNCAN_ESR1,REGDN,0,200,
04/15/2026 12:13:14,N,04/15/2026 12:09:28,04/15/2026 23:59:01,QTEN36,TSECA_ES_ESR1,REGDN,0,200,
04/15/2026 12:13:14,N,04/15/2026 12:07:54,04/15/2026 23:59:01,QSUE74,PUEBLO_ESR1,REGDN,0,15,
