SCED Time Stamp,Repeated Hour Flag,QSE,DME,Resource Name,Telemetered Resource Status,Max Power Consumption,Low Power Consumption,Real Power Consumption,AS Awards NSPIN,AS Awards RRSFFR,AS Awards RRSPFR,AS Awards RRSUFR,AS Awards ECRS,AS Awards REGUP,AS Awards REGDN,SCED Bid to Buy Curve-MW1,SCED Bid to Buy Curve-Price1,SCED Bid to Buy Curve-MW2,SCED Bid to Buy Curve-Price2,SCED Bid to Buy Curve-MW3,SCED Bid to Buy Curve-Price3,SCED Bid to Buy Curve-MW4,SCED Bid to Buy Curve-Price4,SCED Bid to Buy Curve-MW5,SCED Bid to Buy Curve-Price5,SCED Bid to Buy Curve-MW6,SCED Bid to Buy Curve-Price6,SCED Bid to Buy Curve-MW7,SCED Bid to Buy Curve-Price7,SCED Bid to Buy Curve-MW8,SCED Bid to Buy Curve-Price8,SCED Bid to Buy Curve-MW9,SCED Bid to Buy Curve-Price9,SCED Bid to Buy Curve-MW10,SCED Bid to Buy Curve-Price10,Self Provided RRSFFR,Self Provided RRSUFR,Self Provided ECRS,Ramp Rate Up,Ramp Rate Down,AS Capability NSPIN,AS Capability ECRS,AS Capability REGUP,AS Capability REGDN,AS Capability RRSPFR,AS Capability RRSFFR,AS Capability RRSUFR,HDL,LDL,Base Point
07/08/2026 00:00:21,N,QEDE20,,AAPIPLNC_LD3,ONL,24,0,12.8,,,,12.6,,,,,,,,,,,,,,,,,,,,,,,,0,12.6,0,0,0,0,0,0,0,0,0,12.786,12.78600025177,12.78600025177,
07/08/2026 00:00:21,N,QEDE20,,AAPIPLNC_LD4,ONL,15,0,10.5,,,,10.5,,,,,,,,,,,,,,,,,,,,,,,,0,10.5,0,0,0,0,0,0,0,0,0,10.547,10.5470008850098,10.5470008850098,
07/08/2026 00:00:21,N,QEDE20,,AIRPK_LD2,OUTL,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
