HOUR_BEGINNING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STWPF_SYSTEM_WIDE,WGRPP_SYSTEM_WIDE,ACTUAL_SOUTH_HOUSTON,COP_HSL_SOUTH_HOUSTON,STWPF_SOUTH_HOUSTON,WGRPP_SOUTH_HOUSTON,ACTUAL_WEST_NORTH,COP_HSL_WEST_NORTH,STWPF_WEST_NORTH,WGRPP_WEST_NORTH,DSTFlag
01/30/2016 00:00,6986.24,7732.1,7960.3,6761.2,2151.24,2358.7,2429,2174.9,4835,5373.4,5531.3,4586.3,N
01/30/2016 01:00,6482.05,7174.4,7004.8,5783.2,2039.62,2203.1,2201.5,1947.5,4442.43,4971.3,4803.3,3835.7,N
01/30/2016 02:00,5979.41,6937.7,6747.9,5494.9,2020.17,2106.1,2178.9,1924.7,3959.24,4831.6,4569,3570.2,N
