"OWNER RE","RESOURCE NAME","TYPE","SPLIT GEN RESOURCE","DME","DME DUNS","RMR"
"224WB 8ME LLC (RE)","GALLOWAY_SOLAR2","Generation","Not Applicable","224WB 8ME LLC (DME)","0815527087000","N"
"225DD 8ME LLC (RE)","GALLOWAY_SOLAR1","Generation","Not Applicable","225DD 8ME LLC (DME)","0815490207000","N"
"226HC 8ME LLC (RE)","HOLSTEIN_SOLAR1","Generation","Not Applicable","226HC 8ME LLC (DME)","1169540657000","N"
