SCEDTimestamp,RepeatedHourFlag,ResourceType,ResourceName,StationName,VoltageLevel,MeterName,MeterLMP,RTRDPA,FinalLMP
09/07/2026 13:15:20,N,SODG,19599_1_PV_A1,BLMND,138.00,10443720004133031,27.52,0.00,27.52
09/07/2026 13:15:20,N,SODG,19599_2_PV_2,BLMND,138.00,10443720006303128,27.52,0.00,27.52
09/07/2026 13:15:20,N,SODG,19599_PV_A,BLMND,138.00,10443720007007287,27.52,0.00,27.52
