IntervalEnding,Region,Value,Model,InUseFlag,DSTFlag
03/26/2026 11:45,COASTAL,2615.1,A,Y,N
03/26/2026 11:45,COASTAL,2581.53,B,N,N
03/26/2026 11:45,COASTAL,2598.32,C,N,N
