DeliveryDate,HourEnding,Region,Value,Model,InUseFlag,DSTFlag
03/24/2026,12,CENTEREAST,3378.1,PVGRPP1,N,N
03/24/2026,12,CENTERWEST,3474,PVGRPP1,N,N
03/24/2026,12,FAREAST,9450.6,PVGRPP1,N,N
