SCED Time Stamp,Repeated Hour Flag,SUM TELEM GEN MW,SUM TELEM DCTIE MW,AGG LOAD SUMMARY
09/05/2026 00:00:20,N,65633.48059,-232.2,65865.68059
09/05/2026 00:05:18,N,65443.18001,-327.3,65770.48001
09/05/2026 00:10:18,N,65224.68439,-336.8,65561.48439
