DeliveryDate,HourEnding,RUCTimeStamp,ASType,DemandCurvePoint,Quantity,Price,RepeatedHourFlag
09/07/2026,14:00,09/07/2026 12:03:03,ECRS,1,0,5050,N
09/07/2026,14:00,09/07/2026 12:03:03,ECRS,2,378,5050,N
09/07/2026,14:00,09/07/2026 12:03:03,ECRS,3,379,3353.06,N
