DeliveryDate,HourEnding,TotalCapGenRes,TotalCapLoadRes,DSTFlag
03/12/2014,01:00,37749.5,1997.6,N
03/12/2014,02:00,36967.3,1997.1,N
03/12/2014,03:00,37020.2,1996.1,N
