DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,DSTFlag
06/23/2026,02:00,81.9, 80.5, 82.5, 79, 83, 80, 82.4, 82,N
06/23/2026,03:00,81.2, 79.5, 81, 78, 82.25, 79, 81.8, 80.6,N
06/23/2026,04:00,81.2, 78.5, 80, 77.5, 81, 79.5, 81.2, 78.6,N
