"SCED Time  Stamp","Repeated Hour  Flag","SUM  BASE POINT NON-WGR","SUM  HASL NON-WGR","SUM  LASL NON-WGR","SUM  BASE POINT WGR","SUM   HASL  WGR","SUM  LASL WGR","SUM  BASE POINT REMAINING RESOURCES","SUM  HASL REMAINING RESOURCES","SUM  LASL REMAINING RESOURCES","SUM  GEN  TELEM  MW"
"04/29/2014 00:00:16","N","5120.02861404","5273.79998779","2969","","","","322.95237356","331.4424377","311.4424377","5324.22172"
"04/29/2014 00:15:08","N","5102.64146423","5166.99998474","3025","","","","308.56273506","318.25678531","298.25678531","5329.34504"
"04/29/2014 00:30:10","N","5072.15359497","5166.99998474","3025","","","","304.66304191","314.14134249","294.14134249","5350.31523"
