SCEDTimestamp,RepeatedHourFlag,SettlementPoint,LMP
05/01/2014 00:05:19,N,AMISTAD_ALL,       30.95
05/01/2014 00:05:19,N,AMOCOOIL_CC1,       30.95
05/01/2014 00:05:19,N,AMOCOOIL_CC2,       30.95
