SCEDTimestamp,RepeatedHourFlag,CapREGUPTotal,CapREGDNTotal,CapRRSTotal,CapECRSTotal,CapNSPINTotal,CapREGUP_RRSTotal,CapREGUP_RRS_ECRSTotal,CapREGUP_RRS_ECRS_NSPINTotal
12/04/2025 23:45:16,N,17467.1,12833.7,15920.6,16069.9,17461.9,25063.6,30106.1,39599.4
12/04/2025 23:50:17,N,17495.2,12774.9,15840.6,16067.4,17540.1,25077.6,30067.3,39594.3
12/04/2025 23:55:16,N,17608.3,12638.1,15943,16231.8,17687.5,25245.4,30185.8,39722.6
