DELIVERY_DATE,HOUR_ENDING,SYSTEM_WIDE_GEN,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,SYSTEM_WIDE_HSL,DSTFlag
09/05/2026,12,30281.46,31037,29787.6,28375,30623.38,N
09/05/2026,13,29715.11,30122.2,28980.2,27416.3,29925.1,N
09/05/2026,14,28920.79,28506.2,28055.2,26406.6,29085.69,N
