Delivery Date,Hour Ending,QSE Name,Settlement Point Source,Settlement Point Sink,MW,Price,Offer ID,CRR ID
07/09/2026,1,QAEN,DECKER_GT,LZ_AEN,0,0,153586167_1,153586167
07/09/2026,1,QAEN,DECKER_GT,LZ_AEN,0,0,153586168_1,153586168
07/09/2026,1,QAEN,EXGNWTL_1,LZ_AEN,1,-.35,176843720_1,176843720
