BatchID,RTDTimestamp,RepeatedHourFlag,IntervalID,IntervalEnding,IERepeatedHourFlag,SystemLambda,RTORPA,RTOFFPA,RTOLCAP,RTOFFCAP
3913027,06/01/2014 00:10:01,N,1,06/01/2014 00:15:00,N,33.8459,0.0882,0.0503,6762.25,1987.92
3913027,06/01/2014 00:10:01,N,2,06/01/2014 00:20:00,N,32.0338,0.0278,0.0110,6950.97,2294.82
3913027,06/01/2014 00:10:01,N,3,06/01/2014 00:25:00,N,31.4318,0.0111,0.0052,7182.94,2294.82
