OperDay,HourEnding,COAST,EAST,FAR_WEST,NORTH,NORTH_C,SOUTHERN,SOUTH_C,WEST,TOTAL,DSTFlag
09/06/2026,01:00,15364.16,1909.48,7714.55,1961.02,18981.63,5214.50,11031.83,2183.53,64360.71,N
09/06/2026,02:00,14915.21,1838.23,7658.99,1823.84,17892.79,4997.48,10449.71,2074.54,61650.78,N
09/06/2026,03:00,14671.59,1791.66,7621.40,1790.64,17036.00,4810.84,9927.95,2027.64,59677.71,N
