"SCED Time Stamp","Repeated Hour Flag","Resource Name","Resource Type","SCED1 Curve-MW1","SCED1 Curve-Price1","SCED1 Curve-MW2","SCED1 Curve-Price2","SCED1 Curve-MW3","SCED1 Curve-Price3","SCED1 Curve-MW4","SCED1 Curve-Price4","SCED1 Curve-MW5","SCED1 Curve-Price5","SCED1 Curve-MW6","SCED1 Curve-Price6","SCED1 Curve-MW7","SCED1 Curve-Price7","SCED1 Curve-MW8","SCED1 Curve-Price8","SCED1 Curve-MW9","SCED1 Curve-Price9","SCED1 Curve-MW10","SCED1 Curve-Price10","SCED1 Curve-MW11","SCED1 Curve-Price11","SCED1 Curve-MW12","SCED1 Curve-Price12","SCED1 Curve-MW13","SCED1 Curve-Price13","SCED1 Curve-MW14","SCED1 Curve-Price14","SCED1 Curve-MW15","SCED1 Curve-Price15","SCED1 Curve-MW16","SCED1 Curve-Price16","SCED1 Curve-MW17","SCED1 Curve-Price17","SCED1 Curve-MW18","SCED1 Curve-Price18","SCED1 Curve-MW19","SCED1 Curve-Price19","SCED1 Curve-MW20","SCED1 Curve-Price20","SCED1 Curve-MW21","SCED1 Curve-Price21","SCED1 Curve-MW22","SCED1 Curve-Price22","SCED1 Curve-MW23","SCED1 Curve-Price23","SCED1 Curve-MW24","SCED1 Curve-Price24","SCED1 Curve-MW25","SCED1 Curve-Price25","SCED1 Curve-MW26","SCED1 Curve-Price26","SCED1 Curve-MW27","SCED1 Curve-Price27","SCED1 Curve-MW28","SCED1 Curve-Price28","SCED1 Curve-MW29","SCED1 Curve-Price29","SCED1 Curve-MW30","SCED1 Curve-Price30","SCED1 Curve-MW31","SCED1 Curve-Price31","SCED1 Curve-MW32","SCED1 Curve-Price32","SCED1 Curve-MW33","SCED1 Curve-Price33","SCED1 Curve-MW34","SCED1 Curve-Price34","SCED1 Curve-MW35","SCED1 Curve-Price35","SCED2 Curve-MW1","SCED2 Curve-Price1","SCED2 Curve-MW2","SCED2 Curve-Price2","SCED2 Curve-MW3","SCED2 Curve-Price3","SCED2 Curve-MW4","SCED2 Curve-Price4","SCED2 Curve-MW5","SCED2 Curve-Price5","SCED2 Curve-MW6","SCED2 Curve-Price6","SCED2 Curve-MW7","SCED2 Curve-Price7","SCED2 Curve-MW8","SCED2 Curve-Price8","SCED2 Curve-MW9","SCED2 Curve-Price9","SCED2 Curve-MW10","SCED2 Curve-Price10","SCED2 Curve-MW11","SCED2 Curve-Price11","SCED2 Curve-MW12","SCED2 Curve-Price12","SCED2 Curve-MW13","SCED2 Curve-Price13","SCED2 Curve-MW14","SCED2 Curve-Price14","SCED2 Curve-MW15","SCED2 Curve-Price15","SCED2 Curve-MW16","SCED2 Curve-Price16","SCED2 Curve-MW17","SCED2 Curve-Price17","SCED2 Curve-MW18","SCED2 Curve-Price18","SCED2 Curve-MW19","SCED2 Curve-Price19","SCED2 Curve-MW20","SCED2 Curve-Price20","SCED2 Curve-MW21","SCED2 Curve-Price21","SCED2 Curve-MW22","SCED2 Curve-Price22","SCED2 Curve-MW23","SCED2 Curve-Price23","SCED2 Curve-MW24","SCED2 Curve-Price24","SCED2 Curve-MW25","SCED2 Curve-Price25","SCED2 Curve-MW26","SCED2 Curve-Price26","SCED2 Curve-MW27","SCED2 Curve-Price27","SCED2 Curve-MW28","SCED2 Curve-Price28","SCED2 Curve-MW29","SCED2 Curve-Price29","SCED2 Curve-MW30","SCED2 Curve-Price30","SCED2 Curve-MW31","SCED2 Curve-Price31","SCED2 Curve-MW32","SCED2 Curve-Price32","SCED2 Curve-MW33","SCED2 Curve-Price33","SCED2 Curve-MW34","SCED2 Curve-Price34","SCED2 Curve-MW35","SCED2 Curve-Price35","Output Schedule","HSL","HASL","HDL","LSL","LASL","LDL","Telemetered Resource Status","Base Point","Telemetered Net Output ","Ancillary Service REGUP","Ancillary Service REGDN","Ancillary Service RRS","Ancillary Service NSRS","Bid_Type","Start Up Cold Offer","Start Up Hot Offer","Start Up Inter Offer","Min Gen Cost","Submitted TPO-MW1","Submitted TPO-Price1","Submitted TPO-MW2","Submitted TPO-Price2","Submitted TPO-MW3","Submitted TPO-Price3","Submitted TPO-MW4","Submitted TPO-Price4","Submitted TPO-MW5","Submitted TPO-Price5","Submitted TPO-MW6","Submitted TPO-Price6","Submitted TPO-MW7","Submitted TPO-Price7","Submitted TPO-MW8","Submitted TPO-Price8","Submitted TPO-MW9","Submitted TPO-Price9","Submitted TPO-MW10","Submitted TPO-Price10","Proxy Extension"
"03/02/2014 00:00:14","N","AMISTAD_AMISTAG1","HYDRO","0","-250",".00999999977648258","4999.990234375","28","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-250",".00999999977648258","4999.990234375","28","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","28","0","10","10","0","EMR","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","No"
"03/02/2014 00:00:14","N","AMISTAD_AMISTAG2","HYDRO","0","-250","10","-250","25","-249.990005493164","25.0100002288818","4999.990234375","28","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-250","10","-250","25","-249.990005493164","25.0100002288818","4999.990234375","28","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","28","28","28","10","10","28","STARTUP","28","12.55103","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","Yes"
"03/02/2014 00:00:14","N","AMOCOOIL_CC1_1","CCGT90","0","-250","0","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-50","0","-50","0","5000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","OFF","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","No"
