DC_Tie,GMT_Interval_Ending,Interval_Ending,Repeated_Hour,MW,Import_Export
DC_E,09/07/2026 05:15,09/07/2026 00:15,N,325,IMPORT
DC_E,09/07/2026 05:30,09/07/2026 00:30,N,325,IMPORT
DC_E,09/07/2026 05:45,09/07/2026 00:45,N,325,IMPORT
