RTDTimestamp,RepeatedHourFlag,IntervalID,IntervalEnding,IntervalEndingRepeatedHourFlag,REGUP,REGDN,RRS,ECRS,NSPIN
12/05/2025 00:00:03,N,1,12/05/2025 00:05,N,2.96,5.69,0.31,0.31,2.37
12/05/2025 00:00:03,N,2,12/05/2025 00:10,N,3.13,5.82,0.61,0.61,2.54
12/05/2025 00:00:03,N,3,12/05/2025 00:15,N,3.13,8.96,0.63,0.63,2.54
