SCEDTimestamp,ElectricBusName,LMPOriginal,LMPCorrected,PriceCorrectionTime,DSTFlag
09/25/2014 13:50:09,0001,34.36,33.4,09/28/2014 15:00:00,N
09/25/2014 13:50:09,0001DUPV1_,33.67,33.61,09/28/2014 15:00:00,N
09/25/2014 13:50:09,0001HWFG1,34.26,33.34,09/28/2014 15:00:00,N
