DeliveryDate,DeliveryHour,DeliveryInterval,ResourceType,ResourceName,MeterName,PriceOriginal,PriceCorrected,PriceCorrectionTime,DSTFlag
07/08/2022,14,4,SODG,ALEXIS_ALEXIS,CPLALXSGP0100,417.28,378.69,07/12/2022 16:00:00,N
07/08/2022,14,3,SODG,ALEXIS_ALEXIS,CPLALXSGP0100,243.8,243.7,07/12/2022 16:00:00,N
07/08/2022,15,2,SODG,ALEXIS_ALEXIS,CPLALXSGP0100,737.21,670.15,07/12/2022 16:00:00,N
