DeliveryDate,HourEnding,ASType,Quantity,RepeatedHourFlag
09/08/2026,01:00,ECRSM,247.8,N
09/08/2026,01:00,ECRSS,691.8,N
09/08/2026,01:00,OFFEC,221.4,N
