SCED Time Stamp,Repeated Hour Flag,SUM LSL OUTPUT SCHEDULE,SUM HSL OUTPUT SCHEDULE,SUM OUTPUTSCHEDULE
09/05/2026 00:00:20,N,253.98100972,1236.34936594,606.03206092
09/05/2026 00:05:18,N,251.98100972,1234.53440546,602.20387813
09/05/2026 00:10:18,N,248.97099995,1230.26176905,600.62980573
