"TYPE","Region","TDSP","Operating Day","Channel","Actual Count","Historical Estimated Count","Default Profile Count","Total Count","Percent Actual Count","Percent Hist Estimated Count","Percent Default Profile Count"
"IDR","ERCOT","TRI COUNTY ELECTRIC CO OP INC (TDSP)","02-MAY-26","2","64","0","0","64","100","0","0"
"IDR","ERCOT","SAN PATRICIO ELECTRIC CO OP (TDSP)","02-MAY-26","2","14","0","0","14","100","0","0"
"IDR","ERCOT","GRAYSON COLLIN ELECTRIC COOPERATIVE INC (MEL) (TDSP)","02-MAY-26","2","2","0","0","2","100","0","0"
