DeliveryDate,HourEnding,Coast,East,FarWest,North,NorthCentral,SouthCentral,Southern,West,SystemTotal,DSTFlag
01/01/2019,1:00,9566.0996,1414.37,2954.29,942.583,11252.9004,6163.46,3024.51,1634.28,36952.493,N
01/01/2019,2:00,9546.4902,1410.49,2918.47,951.766,11649.0996,6090.0298,3092.5,1610.46,37269.3056,N
01/01/2019,3:00,9399.4697,1401.58,2913.1899,983.433,12028,5994.7002,3124.1599,1679.34,37523.8727,N
