HOUR_ENDING,ACTUAL_SYSTEM_WIDE,COP_HSL_SYSTEM_WIDE,STPPF_SYSTEM_WIDE,PVGRPP_SYSTEM_WIDE,DSTFlag
02/08/2016 00:00,0,29.4,0,0,N
02/08/2016 01:00,0,29.4,0,0,N
02/08/2016 02:00,0,29.4,0,0,N
