"SCED Timestamp","Repeated Hour Flag","Participant Name","Resource Name","HDL Original","HDL Manual","HDL Final","LDL Original","LDL Manual","LDL Final","Reason Code"
"04/08/2024 11:40:17","N","QAEN","FPPYD1_FPP_G2_J02","95.13999938","0","95.13999938","78","160","95.13999938","."
"04/08/2024 11:40:17","N","QLCRA","FPPYD2_FPP_G3","319.31054687","0","319.31054687","279.31054687","325","319.31054687","."
"04/08/2024 11:45:17","N","QAEN","FPPYD1_FPP_G2_J02","107.44158935","0","107.44158935","78","160","107.44158935","."
