LdfDate,LdfHour,SubStation,LoadDistributionFactor,LoadID,MVARDistributionFactor,MRIDLoad,DSTFlag
05/02/2014,01:00,SNOOK,0,050,0.603000342845917,{356A1C81-051D-432E-A1E7-2B63E50840C3},N
05/02/2014,01:00,MILLICAN,0,070,0.274599581956863,{D71F619B-5FEB-4D44-B7FC-27097FD8001F},N
05/02/2014,01:00,STEELE_S,0.820144251,080,1.248251080513,{AB14B651-6C11-4BDB-9C7A-AAFAF380D614},N
