Delivery Date,QSE Name,Resource Name,Hour Ending,Status,High Sustained Limit,Low Sustained Limit,High Emergency Limit,Low Emergency Limit,Reg Up,Reg Down,RRSPFR,RRSFFR,RRSUFR,NSPIN,ECRS,Minimum SOC,Maximum SOC,Hour Beginning Planned SOC,Cancel Flag,Update Time,Submit Time
07/08/2026,QAEN,ARAGORN_UNIT1,1:00,ON,14.00,0.00,187.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N,06/30/2026 09:01:26,06/30/2026 08:01:25
07/08/2026,QAEN,ARAGORN_UNIT1,1:00,ON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N,07/01/2026 01:51:15,06/30/2026 08:01:25
07/08/2026,QAEN,ARAGORN_UNIT1,1:00,ON,0.00,0.00,187.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N,07/07/2026 09:03:35,07/07/2026 08:03:35
