DeliveryDate,HourEnding,Settlement_Point,Total_DAM_Energy_Bought,DSTFlag
03/13/2014,01:00,MWEC_G1,28,N
03/13/2014,01:00,LZ_CPS,1933.8,N
03/13/2014,01:00,BYU_BYU_34,41,N
