RTDTimestamp,RepeatedHourFlag,IntervalID,IntervalEnding,IntervalEndingRepeatedHourFlag,REGUP,REGDN,RRS,ECRS,NSPIN
09/07/2026 12:50:04,N,1,09/07/2026 12:55,N,2.96,4.05,0.01,0.01,0.04
09/07/2026 12:50:04,N,2,09/07/2026 13:00,N,3,4.05,0.01,0.02,0.05
09/07/2026 12:50:04,N,3,09/07/2026 13:05,N,3.21,5,0.01,0.01,0.05
