IntervalEnding,Region,Value,Model,InUseFlag,DSTFlag
09/07/2026 12:45,COASTAL,536.7,A,Y,N
09/07/2026 12:45,COASTAL,509.12,B,N,N
09/07/2026 12:45,COASTAL,522.91,C,N,N
