OperDay,HourEnding,NORTH,SOUTH,WEST,HOUSTON,TOTAL,DSTFlag
06/29/2017,01:00,15306.84,11509.76,3820.78,11614.47,42251.85,N
06/29/2017,02:00,14398.26,10781.79,3687.67,11039.10,39906.81,N
06/29/2017,03:00,13764.82,10247.55,3584.47,10628.50,38225.33,N
