DeliveryDate,HourEnding,Price,Source,Sink,DSTFlag
09/07/2026,01:00,0,7RNCHSLR_ALL,FPPYD_FPP_G2,N
09/07/2026,01:00,0,A4_DGR1_RN,FERD_ESS_RN,N
09/07/2026,01:00,0,A4_DGR1_RN,LEONLCPCT3_4,N
