INTERVAL_ENDING,SYSTEM_WIDE,SOUTH_HOUSTON,WEST_NORTH,DSTFlag
04/30/2014 23:00,1138.27,493.14,645.12,N
04/30/2014 23:05,1105.55,491.95,613.6,N
04/30/2014 23:10,1108.23,503.28,604.95,N
