DeliveryDate,HourEnding,Region,Value,Model,InUseFlag,DSTFlag
08/04/2020,17,SYSTEM_TOTAL,3642.6999969482422,S,Y,N
08/04/2020,17,COASTAL,739.5,WF1,N,N
08/04/2020,17,NORTH,90.6999969482422,WF1,N,N
