Delivery Date,Hour Ending,Settlement Point Source Location for PtP Bid,Settlement Point Sink Location for PtP Bid,PtP Bid Price,PtP Bid MW
09/05/2026,1,7RNCHSLR_ALL,LEONLCPCT1_2,50.93,1.3
09/05/2026,1,A4_DGR1_RN,LYSSY_RN,-.06,7.2
09/05/2026,1,A4_DGR1_RN,TIMPP_RN1,-3.33,10
