SCED Time Stamp,Repeated Hour Flag,Resource Name,50xFIP,RTMCPC,PRICE1 REGUP,PRICE1 REGDOWN,PRICE1 RRSPFR,PRICE1 RRSUFR,PRICE1 RRSFFR,PRICE1 NONSPIN,PRICE1 ECRS,QUANTITY MW1,PRICE2 REGUP,PRICE2 REGDOWN,PRICE2 RRSPFR,PRICE2 RRSUFR,PRICE2 RRSFFR,PRICE2 NONSPIN,PRICE2 ECRS,QUANTITY MW2,PRICE3 REGUP,PRICE3 REGDOWN,PRICE3 RRSPFR,PRICE3 RRSUFR,PRICE3 RRSFFR,PRICE3 NONSPIN,PRICE3 ECRS,QUANTITY MW3,PRICE4 REGUP,PRICE4 REGDOWN,PRICE4 RRSPFR,PRICE4 RRSUFR,PRICE4 RRSFFR,PRICE4 NONSPIN,PRICE4 ECRS,QUANTITY MW4,PRICE5 REGUP,PRICE5 REGDOWN,PRICE5 RRSPFR,PRICE5 RRSUFR,PRICE5 RRSFFR,PRICE5 NONSPIN,PRICE5 ECRS,QUANTITY MW5
08/26/2026 20:55:24,N,AE_ESR1,118.25,134.09,,,,,,2000,,.1,,,,,,,,,,,,,,2000,,1.6,,,,,,2000,,3.4,,,,,,2000,,14.4
08/26/2026 20:55:24,N,ALP_BESS_ESR1,118.25,134.09,,,,,,,,,,,,,,2000,,201.1,,,,,,,,,,,,,,,,,,,,,,,,
08/26/2026 20:55:24,N,ANCHOR_ESR1,118.25,134.09,,,,,,,,,,,,,,2000,,18.4,,,,,,2000,,21.5,,,,,,2000,,25.9,,,,,,,,
